,0,1,2,3,4,5,6,7
0,"It's a MAGIC Monday in #TheLand.
#CavsMagic tips at 7PM ET on @FOXSportsOH!
 
GAME PREVIEW: http://cavs.com/preview pic.twitter.com/2fSfsCn0yr",OrlandoMagic,cavs,"[""It's a MAGIC Monday in #TheLand.\n#CavsMagic tips at 7PM ET on @FOXSportsOH!\n \nGAME PREVIEW: http://cavs.com/preview\xa0pic.twitter.com/2fSfsCn0yr"", '@cavs Everyday is Magic over here.pic.twitter.com/tq0CfcA3Ea']",2,"['23 Nov 2015', '23 Nov 2015']","['Cleveland Cavaliers', 'Orlando Magic']",2
1,#IsItOctoberYet?pic.twitter.com/FZd2RTfkWI,OrlandoMagic,cavs,"['#IsItOctoberYet?pic.twitter.com/FZd2RTfkWI', ""It's getting closer! pic.twitter.com/n9UsEqyvet"", 'see you in 22 days ']",3,"['Sep 21 2017', 'Sep 21 2017', 'Sep 21 2017']","['Orlando Magic', 'Cleveland Cavaliers', 'Orlando Magic']",3
2,Anyone enjoying their #NBACereals this morning? We started the day with a bowl of Special Kay pic.twitter.com/DkVMVlDX2O,OrlandoMagic,cavs,"['Anyone enjoying their #NBACereals this morning? We started the day with a bowl of Special Kay pic.twitter.com/DkVMVlDX2O', 'That sounds like a good one, but have you ever tried Honey Bunches of GOATS? #NBACerealspic.twitter.com/CMNIK0C9WP', 'We’re picking up what you’re putting down… #TBT to Glen Rice Krispies #NBACerealpic.twitter.com/bUFYKsogmk', 'We are getting dunk-a-tized this morning in Orlando  #NBACerealspic.twitter.com/SdEo3JPJj2']",4,"['Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017']","['Cleveland Cavaliers', 'Atlanta Hawks', 'Charlotte Hornets', 'Orlando Magic']",4
3,Just got confirmation I'm in the shooting contest during a timeout in the @OrlandoMagic vs @okcthunder game tonight ,OrlandoMagic,okcthunder,"[""Just got confirmation I'm in the shooting contest during a timeout in the @OrlandoMagic vs @okcthunder game tonight "", ""You've got this @TmarTn ""]",2,"['Nov 29 2017', 'Nov 29 2017']","['TmarTn', 'Orlando Magic']",2
4,"Time to bounce back. Magic. @okcthunder. Tonight. 
: @FOXSportsFL
: FOX Sports GO
: @ESPNOrlando & @Salsa981orlandopic.twitter.com/dwITqVbkMB",OrlandoMagic,okcthunder,"['Time to bounce back. Magic. @okcthunder. Tonight. \n: @FOXSportsFL\n: FOX Sports GO\n: @ESPNOrlando & @Salsa981orlandopic.twitter.com/dwITqVbkMB', 'What time does the game start tonight ?', '7:00 PM!\nPregame coverage starts at 6:30 PM on @FOXSportsFL!']",3,"['Nov 29 2017', 'Nov 29 2017', 'Nov 29 2017']","['Orlando Magic', 'Mark Moscato', 'Orlando Magic']",3
5,Are you ready for tonight's Eastern Conference match vs. @OrlandoMagic ? RETWEET now & represent your team. Get tix:http://bit.ly/1zBILnq ,OrlandoMagic,celtics,"[""Are you ready for tonight's Eastern Conference match vs. @OrlandoMagic ? RETWEET now & represent your team. Get tix:http://bit.ly/1zBILnq\xa0"", ""@celtics We're ready! See you tonight.""]",2,"['13 Mar 2015', '13 Mar 2015']","['Boston Celtics', 'Orlando Magic']",2
6,"TONIGHT #Celtics vs @OrlandoMagic
 @AmwayCenter
 6:00 p.m.
 http://Celtics.com/gameday 
 @NBCSBoston
 @985TheSportsHubpic.twitter.com/asfdzwVO1T",OrlandoMagic,celtics,"['TONIGHT #Celtics vs @OrlandoMagic\n @AmwayCenter\n 6:00 p.m.\n http://Celtics.com/gameday\xa0\n @NBCSBoston\n @985TheSportsHubpic.twitter.com/asfdzwVO1T', 'Ready to put on a show, @celtics?!']",2,"['Nov 5 2017', 'Nov 5 2017']","['Boston Celtics', 'Orlando Magic']",2
7,Best wishes to @OrlandoMagic as they take on @celtics tonight at 7:30 ,OrlandoMagic,celtics,"['Best wishes to @OrlandoMagic as they take on @celtics tonight at 7:30 ', 'Thanks ']",2,"['Mar 31 2017', 'Mar 31 2017']","['Florida Hospital', 'Orlando Magic']",2
8,Best wishes to @OrlandoMagic as they take on @BrooklynNets tonight at 7! ,OrlandoMagic,BrooklynNets,"['Best wishes to @OrlandoMagic as they take on @BrooklynNets tonight at 7! ', 'Thank you! ']",2,"['Apr 6 2017', 'Apr 6 2017']","['Florida Hospital', 'Orlando Magic']",2
9,Check out the top five plays from the Magic's 125-121 win over the @BrooklynNets last night at @AmwayCenter ! pic.twitter.com/bfvmeZnkzY,OrlandoMagic,BrooklynNets,"[""Check out the top five plays from the Magic's 125-121 win over the @BrooklynNets last night at @AmwayCenter ! pic.twitter.com/bfvmeZnkzY"", 'The kid can play.', 'True!']",3,"['Oct 25 2017', 'Oct 25 2017', 'Oct 25 2017']","['Orlando Magic', 'Brian-Marc Whittaker', 'Orlando Magic']",3
10,.@FOXSportsMagic Poll: Dunk Contest Winner? #ORL1 @VicOladipo #ORL2 @G_ante34 #ORL3 @ZachLaVine #ORL4 @MasonPlumleepic.twitter.com/W2iVBZ98Og,OrlandoMagic,BrooklynNets,"['.@FOXSportsMagic Poll: Dunk Contest Winner? #ORL1 @VicOladipo #ORL2 @G_ante34 #ORL3 @ZachLaVine #ORL4 @MasonPlumleepic.twitter.com/W2iVBZ98Og', 'Our vote is for #ORL1. Not sure who the @Bucks, @MNTimberwolves and @BrooklynNets will vote for though.']",2,"['29 Jan 2015', '29 Jan 2015']","['Orlando Magic', 'Orlando Magic']",2
11,Basketball season https://twitter.com/twittermoments/status/911220469445033984 …,OrlandoMagic,BrooklynNets,"['Basketball season https://twitter.com/twittermoments/status/911220469445033984\xa0…', 'moodpic.twitter.com/FXlA97sNwg']",2,"['Sep 22 2017', 'Sep 22 2017']","['Brooklyn Nets \xa0??', 'Orlando Magic']",2
12,"Back at it -

 vs @OrlandoMagic
 7 pm CT
 @SmoothieKingCtr
 @FOXSportsNOLA
 @995WRNO
 http://bit.ly/2z1oxOz 
#DoItBigpic.twitter.com/zKKqKCqR6B",OrlandoMagic,PelicansNBA,"['Back at it -\n\n vs @OrlandoMagic\n 7 pm CT\n @SmoothieKingCtr\n @FOXSportsNOLA\n @995WRNO\n http://bit.ly/2z1oxOz\xa0\n#DoItBigpic.twitter.com/zKKqKCqR6B', 'Ready to put on a show, @PelicansNBA?!']",2,"['Oct 30 2017', 'Oct 30 2017']","['New Orleans Pelicans', 'Orlando Magic']",2
13,We love having @LukeBryanOnline at @AmwayCenter tonight! #PureMagicpic.twitter.com/aJkTq7Rbzo,OrlandoMagic,PelicansNBA,"['We love having @LukeBryanOnline at @AmwayCenter tonight! #PureMagicpic.twitter.com/aJkTq7Rbzo', '@OrlandoMagic - We like this @LukeBryanOnline better!pic.twitter.com/NR2wqiBSrs', '@PelicansNBA We could see why.']",3,"['20 Feb 2015', '20 Feb 2015', '20 Feb 2015']","['Orlando Magic', 'New Orleans Pelicans', 'Orlando Magic']",3
14,"Alright, I'm looking for a new NBA team to pledge my fandom to..
@PelicansNBA @nuggets @Timberwolves @utahjazz @OrlandoMagic are in the race",OrlandoMagic,PelicansNBA,"[""Alright, I'm looking for a new NBA team to pledge my fandom to..\n@PelicansNBA @nuggets @Timberwolves @utahjazz @OrlandoMagic are in the race"", 'Our rim protectors will block any and all comers.']",2,"['11 Jul 2016', '11 Jul 2016']","['Will S', 'Orlando Magic']",2
15,"Happy Mardi Gras, #Pelicans fans! Enjoy your Fat Tuesday! #MardiGras2015pic.twitter.com/RxRap3ojaO",OrlandoMagic,PelicansNBA,"['Happy Mardi Gras, #Pelicans fans! Enjoy your Fat Tuesday! #MardiGras2015pic.twitter.com/RxRap3ojaO', '@PelicansNBA Happy Mardi Gras! See you on Friday.']",2,"['17 Feb 2015', '17 Feb 2015']","['New Orleans Pelicans', 'Orlando Magic']",2
16,Who you got tonight?,OrlandoMagic,PelicansNBA,"['Who you got tonight?', '@OrlandoMagic - You misspelled Pelicans.', '@PelicansNBA Stupid autocorrect']",3,"['28 Dec 2015', '28 Dec 2015', '28 Dec 2015']","['Orlando Magic', 'New Orleans Pelicans', 'Orlando Magic']",3
17,"Thinking of our friends in the path of Hurricane Matthew. Be safe, @MiamiHEAT and @OrlandoMagic.",OrlandoMagic,Pacers,"['Thinking of our friends in the path of Hurricane Matthew. Be safe, @MiamiHEAT and @OrlandoMagic.', 'thank you friend ']",2,"['6 Oct 2016', '6 Oct 2016']","['Indiana Pacers', 'Orlando Magic']",2
18,"OVERTIME.

@OrlandoMagic, you ready for this?pic.twitter.com/PgURZpMojp",OrlandoMagic,Timberwolves,"['OVERTIME.\n\n@OrlandoMagic, you ready for this?pic.twitter.com/PgURZpMojp', 'pic.twitter.com/PNoJQrEeWp']",2,"['Jan 30 2017', 'Jan 30 2017']","['Timberwolves', 'Orlando Magic']",2
19,"Your Thanksgiving Eve Plans. #AllEyesNorth
 Wolves vs. @OrlandoMagic
 7 p.m. CT
 6 p.m. CT
 Arrive Early
 @TargetCenterMN
 http://Timberwolves.com/tickets 
 @fsnorth PLUS
 @wccoradio
 http://Timberwolves.com/app pic.twitter.com/eX5YAtKtI1",OrlandoMagic,Timberwolves,"['Your Thanksgiving Eve Plans. #AllEyesNorth\n Wolves vs. @OrlandoMagic\n 7 p.m. CT\n 6 p.m. CT\n Arrive Early\n @TargetCenterMN\n http://Timberwolves.com/tickets\xa0\n @fsnorth PLUS\n @wccoradio\n http://Timberwolves.com/app\xa0pic.twitter.com/eX5YAtKtI1', ""We'll be there! #PureMagic""]",2,"['Nov 22 2017', 'Nov 22 2017']","['Timberwolves', 'Orlando Magic']",2
20,"Alright, I'm looking for a new NBA team to pledge my fandom to..
@PelicansNBA @nuggets @Timberwolves @utahjazz @OrlandoMagic are in the race",OrlandoMagic,Timberwolves,"[""Alright, I'm looking for a new NBA team to pledge my fandom to..\n@PelicansNBA @nuggets @Timberwolves @utahjazz @OrlandoMagic are in the race"", 'Our rim protectors will block any and all comers.']",2,"['11 Jul 2016', '11 Jul 2016']","['Will S', 'Orlando Magic']",2
21,#LeavingThisRightHere #IsItGameTimeYet ?pic.twitter.com/x9oJrwAj9z,OrlandoMagic,Timberwolves,"['#LeavingThisRightHere #IsItGameTimeYet ?pic.twitter.com/x9oJrwAj9z', '.@OrlandoMagic Soon.pic.twitter.com/I6l2YCDa1f', '@Timberwolves Trying to pass the time like...pic.twitter.com/LRB8e0c5Kb', '.@OrlandoMagic Pretty much... #ORLatMINpic.twitter.com/qbI76Hcije', '@Timberwolves see you soon! #ORLatMINpic.twitter.com/gav7iPSg2P']",5,"['1 Dec 2015', '1 Dec 2015', '1 Dec 2015', '1 Dec 2015', '1 Dec 2015']","['Orlando Magic', 'Timberwolves', 'Orlando Magic', 'Timberwolves', 'Orlando Magic']",5
22,Gonna be taking my kids to their first @OrlandoMagic game and they don't know it yet. Opening night of the regular season vs @MiamiHEAT pic.twitter.com/mo6Al1eAMm,OrlandoMagic,MiamiHEAT,"[""Gonna be taking my kids to their first @OrlandoMagic game and they don't know it yet. Opening night of the regular season vs @MiamiHEAT pic.twitter.com/mo6Al1eAMm"", 'WOHOO!!']",2,"['Oct 9 2017', 'Oct 9 2017']","['Jeremy Ireland \xa0?', 'Orlando Magic']",2
23,All of us here in Miami are thinking of you in Orlando. #PrayForOrlando.,OrlandoMagic,MiamiHEAT,"['All of us here in Miami are thinking of you in Orlando. #PrayForOrlando.', 'Thank you.']",2,"['12 Jun 2016', '12 Jun 2016']","['Miami HEAT', 'Orlando Magic']",2
24,Anyone enjoying their #NBACereals this morning? We started the day with a bowl of Special Kay pic.twitter.com/DkVMVlDX2O,OrlandoMagic,Hornets,"['Anyone enjoying their #NBACereals this morning? We started the day with a bowl of Special Kay pic.twitter.com/DkVMVlDX2O', 'That sounds like a good one, but have you ever tried Honey Bunches of GOATS? #NBACerealspic.twitter.com/CMNIK0C9WP', 'We’re picking up what you’re putting down… #TBT to Glen Rice Krispies #NBACerealpic.twitter.com/bUFYKsogmk', 'We are getting dunk-a-tized this morning in Orlando  #NBACerealspic.twitter.com/SdEo3JPJj2']",4,"['Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017']","['Cleveland Cavaliers', 'Atlanta Hawks', 'Charlotte Hornets', 'Orlando Magic']",4
25,"Today in 2009, the @Lakers won the #NBA Championship, defeating the @OrlandoMagic in 5 games. http://bit.ly/mn-lakers pic.twitter.com/DDm3c5KBc8",OrlandoMagic,Lakers,"['Today in 2009, the @Lakers won the #NBA Championship, defeating the @OrlandoMagic in 5 games. http://bit.ly/mn-lakers\xa0pic.twitter.com/DDm3c5KBc8', 'ouch....']",2,"['Jun 14 2017', 'Jun 14 2017']","['Mitchell & Ness', 'Orlando Magic']",2
