,0,1,2,3,4,5,6,7
0,".@KingJames is averaging 30.6 ppg in 13 career matchups vs. Utah. #NBAVOTE
@KeyBank Keys to #CavsJazz: http://on.nba.com/2idqFGB pic.twitter.com/StkWNju1Pf",UtahJazz,cavs,"['.@KingJames is averaging 30.6 ppg in 13 career matchups vs. Utah. #NBAVOTE\n@KeyBank Keys to #CavsJazz: http://on.nba.com/2idqFGB\xa0pic.twitter.com/StkWNju1Pf', 'Is that good...? pic.twitter.com/yLk1tDKm0J']",2,"['Jan 10 2017', 'Jan 10 2017']","['Cleveland Cavaliers', 'Utah Jazz']",2
1,"Hoodie 3! 
#CLEatUTA",UtahJazz,cavs,"['Hoodie 3! \n#CLEatUTA', 'do less, Jazz.', 'pic.twitter.com/FiRBzjEa6M', 'but really - can you not?', ""Y'all know we're the new Cavs, right? ""]",5,"['Jan 10 2017', 'Jan 10 2017', 'Jan 10 2017', 'Jan 10 2017', 'Jan 10 2017']","['Utah Jazz', 'Cleveland Cavaliers', 'Utah Jazz', 'Cleveland Cavaliers', 'Utah Jazz']",5
2,"We've got a good one going on with @utahjazz. 
You'll want to stay up for this one, #CavsNation!

#CavsJazz BOX: http://on.nba.com/2j3pNIK pic.twitter.com/dSelaE4YC0",UtahJazz,cavs,"[""We've got a good one going on with @utahjazz. \nYou'll want to stay up for this one, #CavsNation!\n\n#CavsJazz BOX: http://on.nba.com/2j3pNIK\xa0pic.twitter.com/dSelaE4YC0"", 'We concur.pic.twitter.com/y9he0c8BBJ']",2,"['Jan 10 2017', 'Jan 10 2017']","['Cleveland Cavaliers', 'Utah Jazz']",2
3,"YOU SEEN THAT?!
Kyrie  TTOP | #CavsJazzpic.twitter.com/NlJUQ6A3N1",UtahJazz,cavs,"['YOU SEEN THAT?!\nKyrie  TTOP | #CavsJazzpic.twitter.com/NlJUQ6A3N1', 'Drew dimes deserve an #NBAVote\nRETWEET for @KyrieIrving !!pic.twitter.com/WUXeQCwMXk', 'Ok...that was nice. pic.twitter.com/t9BRL08Q1r']",3,"['Jan 10 2017', 'Jan 10 2017', 'Jan 10 2017']","['Cleveland Cavaliers', 'Cleveland Cavaliers', 'Utah Jazz']",3
4,samepic.twitter.com/aytxIiCcsF,UtahJazz,cavs,"['samepic.twitter.com/aytxIiCcsF', 'Us too.pic.twitter.com/y5suNfW9a6', ""Don't worry guys, only 2 more months!pic.twitter.com/Shxz9GQXj4"", '  season comi\n#IsItOctoberYetpic.twitter.com/PLHZITyhaV', '#ICantWait. #IsItOctoberYetpic.twitter.com/PHGKxkJGYI', 'Not  enough. #IsItOctoberYetpic.twitter.com/SqWkkewrBV', '*looks at calendar*pic.twitter.com/LUkLSZ1Nzg', 'Got our eyes  on October. #IsItOctoberYetpic.twitter.com/V97aY8OEFw', 'Not just yet... #IsItOctoberYetpic.twitter.com/W4ro1V9qfY', 'Us in October…#IsItOctoberYetpic.twitter.com/pTqn7MuCqw', ""Can't. Wait. \xa0#IsItOctoberYetpic.twitter.com/vBiOgennQa""]",11,"['Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017']","['Memphis Grizzlies', 'Washington Wizards', 'Boston Celtics', 'Atlanta Hawks', 'Detroit Pistons', 'LA Clippers', 'Cleveland Cavaliers', 'Timberwolves', 'Milwaukee Bucks', 'Dallas Mavericks', 'Utah Jazz']",11
5,Hello Brooklyn! #CavsNetspic.twitter.com/I0Sf5Na0bH,UtahJazz,cavs,"['Hello Brooklyn! #CavsNetspic.twitter.com/I0Sf5Na0bH', '¿Qué pasa, Phoenix?\nLOTS of #CavsNation in the house tonight \n#WestCoastCavs  ? #CavsSuns pic.twitter.com/pJGm8qRp8k', 'Sup, Salt Lake? \n#WestCoastCavs  ? #CavsJazz pic.twitter.com/rnISVzXw8J', 'What up! pic.twitter.com/eOwvK4KR5g']",4,"['Jan 6 2017', 'Jan 8 2017', 'Jan 10 2017', 'Jan 10 2017']","['Cleveland Cavaliers', 'Cleveland Cavaliers', 'Cleveland Cavaliers', 'Utah Jazz']",4
6,Climb aboard for the adventure of your life! #NBABedtimeStoriespic.twitter.com/QBpWjz54qQ,UtahJazz,cavs,"['Climb aboard for the adventure of your life! #NBABedtimeStoriespic.twitter.com/QBpWjz54qQ', ""@cavs That's gotta be a bestseller""]",2,"['3 Sep 2014', '3 Sep 2014']","['Cleveland Cavaliers', 'Utah Jazz']",2
7,You can't start your day without a bowl of Honey Nut Felicios! #NBACerealspic.twitter.com/Wu8G5zQMBb,UtahJazz,celtics,"[""You can't start your day without a bowl of Honey Nut Felicios! #NBACerealspic.twitter.com/Wu8G5zQMBb"", 'Gotta love them Zo’s!!! #NBACerealspic.twitter.com/Alhps47Xg9', 'All these #NBACereals are great pic.twitter.com/bUkxcTrFqB', ""But we're gonna have to go with Slam Duncan O's.  #NBACerealspic.twitter.com/iKkwRoMwW6"", 'Clearly you guys have never tried Apple Jackson. #NBACerealspic.twitter.com/zrw9HQR2Ro', 'Actually, we have...\n\n#NBACerealspic.twitter.com/iOcmjjXzqw', ""While you guys get all hyped up on sugar, we'll be over here enjoying a classic bowl of HavliChex #NBACerealspic.twitter.com/9hxtvFpfXq"", ""Delicious, but we're sticking with the OG: Cap'n Clutch. #NBACerealspic.twitter.com/iZteE4pLXK"", ""In case you're still hungry, there's always The Greatest (Cereal) of All Time. #NBACerealspic.twitter.com/PdJ2iKwh21"", ""We're on board with cereal for lunch. #NBACerealspic.twitter.com/HPqEWu3tbK"", ""Rudy Pebbles - they're yabba-dabba delicious!  #NBACerealspic.twitter.com/lI2UyUpkrd""]",11,"['Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017', 'Aug 10 2017']","['Chicago Bulls', 'Charlotte Hornets', 'San Antonio Spurs', 'San Antonio Spurs', 'Sacramento Kings', 'Chicago Bulls', 'Boston Celtics', 'Memphis Grizzlies', 'Chicago Bulls', 'Denver Nuggets', 'Utah Jazz']",11
8,".@Isaiah_Thomas scores a game-high 29, incl 10 during 4Q, and sets a new career high with 15 asts as the C's down the Jazz 115-104. #NBAVotepic.twitter.com/XV7jsscV1x",UtahJazz,celtics,"["".@Isaiah_Thomas scores a game-high 29, incl 10 during 4Q, and sets a new career high with 15 asts as the C's down the Jazz 115-104. #NBAVotepic.twitter.com/XV7jsscV1x"", "" You're in the East...so you definitely get our #NBAVote""]",2,"['Jan 3 2017', 'Jan 3 2017']","['Boston Celtics', 'Utah Jazz']",2
9,Gearing up to head into the @utahjazz vs @BrooklynNets game!  Loving this @NBA life!pic.twitter.com/mBsvhGyJ2N,UtahJazz,BrooklynNets,"['Gearing up to head into the @utahjazz vs @BrooklynNets game!  Loving this @NBA life!pic.twitter.com/mBsvhGyJ2N', 'Wrong hats tho....pic.twitter.com/PjOmWmJQgL']",2,"['Mar 3 2017', 'Mar 3 2017']","['Tatum Mason', 'Utah Jazz']",2
10,What team should I become a permanent PERMANENT fan of? @chicagobulls @PelicansNBA @utahjazz #NBA #NObandwagon #bball #bulls #pelicane #jazz,UtahJazz,PelicansNBA,"['What team should I become a permanent PERMANENT fan of? @chicagobulls @PelicansNBA @utahjazz #NBA #NObandwagon #bball #bulls #pelicane #jazz', 'Easy.']",2,"['Mar 6 2017', 'Mar 6 2017']","['Nick Peterson', 'Utah Jazz']",2
11,"Anthony Davis and the Pelicans are in town tonight. Be here! 

Find Tickets: http://bit.ly/1ZaLTpb 
#NOPatUTApic.twitter.com/BIFhzVD69d",UtahJazz,PelicansNBA,"['Anthony Davis and the Pelicans are in town tonight. Be here! \n\nFind Tickets: http://bit.ly/1ZaLTpb\xa0\n#NOPatUTApic.twitter.com/BIFhzVD69d', '@utahjazz - Oh hey!', '@PelicansNBA Oh, hey!pic.twitter.com/oUbWyBNRxj']",3,"['16 Dec 2015', '16 Dec 2015', '16 Dec 2015']","['Utah Jazz', 'New Orleans Pelicans', 'Utah Jazz']",3
12,"Alright, I'm looking for a new NBA team to pledge my fandom to..
@PelicansNBA @nuggets @Timberwolves @utahjazz @OrlandoMagic are in the race",UtahJazz,PelicansNBA,"[""Alright, I'm looking for a new NBA team to pledge my fandom to..\n@PelicansNBA @nuggets @Timberwolves @utahjazz @OrlandoMagic are in the race"", 'Stockton. Malone. Shepherd. ']",2,"['11 Jul 2016', '11 Jul 2016']","['Will S', 'Utah Jazz']",2
13,"Dueling dunk time! Right, @utahjazz?",UtahJazz,PelicansNBA,"['Dueling dunk time! Right, @utahjazz?', '@PelicansNBA Yes, so many dunks there! They just feel so good ']",2,"['10 Feb 2016', '10 Feb 2016']","['New Orleans Pelicans', 'Utah Jazz']",2
14,Halftime in SLC!pic.twitter.com/T2Yx8jFKRB,UtahJazz,PelicansNBA,"['Halftime in SLC!pic.twitter.com/T2Yx8jFKRB', ""Didn't realize we were using old logos tonight... pic.twitter.com/btA4qX44Pu""]",2,"['Mar 6 2017', 'Mar 6 2017']","['New Orleans Pelicans', 'Utah Jazz']",2
15,Squad up! Let's go @DetroitPistons @Sixers @hornets @BrooklynNets @MNTimberwolves @utahjazz! Team USA!pic.twitter.com/4lM01xMvcd,UtahJazz,OrlandoMagic,"[""Squad up! Let's go @DetroitPistons @Sixers @hornets @BrooklynNets @MNTimberwolves @utahjazz! Team USA!pic.twitter.com/4lM01xMvcd"", '@OrlandoMagic We’re torn! Can’t both sides win?']",2,"['13 Feb 2015', '13 Feb 2015']","['Orlando Magic', 'Utah Jazz']",2
16,I need help choosing a new favourite team. @ATLHawks @Suns @OrlandoMagic @nuggets @WashWizards,UtahJazz,OrlandoMagic,"['I need help choosing a new favourite team. @ATLHawks @Suns @OrlandoMagic @nuggets @WashWizards', 'pic.twitter.com/XJiwSyFrAs', 'Nah, choose us!', 'This is such a hard decision lol', 'heypic.twitter.com/q2WfnlCa9o', 'Cool! I have always liked the Nuggets! Though choice here but I will make my desicion very soon!', 'Hey there!pic.twitter.com/G3WsOiUjPe']",7,"['Aug 17 2017', 'Aug 17 2017', 'Aug 17 2017', 'Aug 17 2017', 'Aug 17 2017', 'Aug 17 2017', 'Aug 17 2017']","['Evan P', 'Phoenix Suns', 'Atlanta Hawks', 'Evan P', 'Denver Nuggets', 'Evan P', 'Utah Jazz']",7
17,We have officially signed @ShelvinMack ! pic.twitter.com/k5BpZr7WEz,UtahJazz,OrlandoMagic,"['We have officially signed @ShelvinMack ! pic.twitter.com/k5BpZr7WEz', 'Congrats, Shelvin! Thanks for everything during your time here. Good luck! ']",2,"['Jul 9 2017', 'Jul 10 2017']","['Orlando Magic', 'Utah Jazz']",2
18,Who are the 70 greatest point guards in @NBA? history? RANKINGS: http://on.nba.com/1Li0Sad pic.twitter.com/bVRmj9XTDP,UtahJazz,OrlandoMagic,"['Who are the 70 greatest point guards in @NBA\u200b history? RANKINGS: http://on.nba.com/1Li0Sad\xa0pic.twitter.com/bVRmj9XTDP', '@OrlandoMagic So the all-time assists AND steals leader (by a mile) comes in at #7??']",2,"['18 Aug 2015', '18 Aug 2015']","['Orlando Magic', 'Utah Jazz']",2
19,"Hey @Suns @Bucks @ATLHawks @utahjazz @trailblazers @hornets @Sixers @MNTimberwolves @OrlandoMagic @cavs @Pacers, wanna play a hashtag game!?",UtahJazz,OrlandoMagic,"['Hey @Suns @Bucks @ATLHawks @utahjazz @trailblazers @hornets @Sixers @MNTimberwolves @OrlandoMagic @cavs @Pacers, wanna play a hashtag game!?', '@denvernuggets @Suns @Bucks @ATLHawks @trailblazers @hornets @Sixers @MNTimberwolves @OrlandoMagic @cavs @Pacers Count us in!']",2,"['24 Sep 2014', '24 Sep 2014']","['Denver Nuggets', 'Utah Jazz']",2
20,@shepwill14 @utahjazz Don't forget Vooch and Bismack. We're going to be #BlockCity!,UtahJazz,OrlandoMagic,"[""@shepwill14 @utahjazz Don't forget Vooch and Bismack. We're going to be #BlockCity!"", 'SWAT LAKE CITY >>>>>> block city pic.twitter.com/bA5QG49mdR']",2,"['12 Jul 2016', '12 Jul 2016']","['Orlando Magic', 'Utah Jazz']",2
21,First visit to the @AmwayCenter to see @OrlandoMagic v @utahjazz  All the way from England  #PureMagicpic.twitter.com/cZx6PwrWuR,UtahJazz,OrlandoMagic,"['First visit to the @AmwayCenter to see @OrlandoMagic v @utahjazz  All the way from England  #PureMagicpic.twitter.com/cZx6PwrWuR', 'Go Jazz!! ', 'Boooo ', 'Laura........pic.twitter.com/1Z4x5sjMJz']",4,"['Nov 18 2017', 'Nov 18 2017', 'Nov 18 2017', 'Nov 18 2017']","['Laura Savvas', 'Utah Jazz', 'Laura Savvas', 'Utah Jazz']",4
