,0,1,2,3,4,5,6,7
0,"So we meet again, @DetroitPistons...",DetroitPistons,cavs,"['So we meet again, @DetroitPistons...', '@cavs Indeed. See you tomorrow ... And this weekend']",2,"['12 Apr 2016', '12 Apr 2016']","['Cleveland Cavaliers', 'Detroit Pistons']",2
1,This was too easy.  Popeye Jones.  #NBACartoonspic.twitter.com/Ebeftq4Q44,DetroitPistons,Pacers,"['This was too easy.  Popeye Jones.  #NBACartoonspic.twitter.com/Ebeftq4Q44', '@Pacers Same train of thought, we see :)']",2,"['27 Aug 2014', '27 Aug 2014']","['Indiana Pacers', 'Detroit Pistons']",2
2,Squad up! Let's go @DetroitPistons @Sixers @hornets @BrooklynNets @MNTimberwolves @utahjazz! Team USA!pic.twitter.com/4lM01xMvcd,DetroitPistons,OrlandoMagic,"[""Squad up! Let's go @DetroitPistons @Sixers @hornets @BrooklynNets @MNTimberwolves @utahjazz! Team USA!pic.twitter.com/4lM01xMvcd"", ""@OrlandoMagic Let's do this!""]",2,"['13 Feb 2015', '13 Feb 2015']","['Orlando Magic', 'Detroit Pistons']",2
3,.@Timberwolves @dallasmavs @NBAonTNT We love balloons. We've got the old school music too. #GIFPartypic.twitter.com/Aig01EG1j3,DetroitPistons,Timberwolves,"["".@Timberwolves @dallasmavs @NBAonTNT We love balloons. We've got the old school music too. #GIFPartypic.twitter.com/Aig01EG1j3"", '.@Suns @Timberwolves @NBAonTNT Balloons are great. Music is great. We’ll bring the Dirk Dab.  #GIFpartypic.twitter.com/r9o77uMPb9', '.@dallasmavs @Suns @Timberwolves @NBAonTNT you guys mind if we turn it up a bit? #GIFPartypic.twitter.com/uzyWaZdxVo', "".@Bucks @dallasmavs @Timberwolves @NBAonTNT We'd prefer if you didn't. #GIFPartypic.twitter.com/E0fLbJqYia"", '.@Suns @Bucks @dallasmavs @Timberwolves @NBAonTNT Walking into the #GIFParty likepic.twitter.com/ZECHS17997', '.@DetroitPistons @Suns @Bucks @dallasmavs @NBAonTNT \n\nWhen everyone comes to the #GIFParty..pic.twitter.com/olH8Kyb8Fh', '@Timberwolves @DetroitPistons @Suns @Bucks @dallasmavs @NBAonTNT hey fam  #GIFpartypic.twitter.com/PYlBmJlfle', "".@warriors @Timberwolves @DetroitPistons @Bucks @dallasmavs @NBAonTNT Who's got the best dance moves at #GIFParty?pic.twitter.com/UKtibJe9Zd"", '.@Suns @warriors @Timberwolves @DetroitPistons @dallasmavs @NBAonTNT The Greek Freak cuts a rug at the #GIFPartypic.twitter.com/ZSLiIWBdJH', '.@Bucks @warriors @Timberwolves @DetroitPistons @dallasmavs @NBAonTNT We see Greek Freak and raise you @SunsDancerspic.twitter.com/YJJ4N0kLV9', '.@Suns @Bucks @warriors @Timberwolves @DetroitPistons @dallasmavs @NBAonTNT @SunsDancers We got someone for that.pic.twitter.com/gZTdZYhdPZ']",11,"['3 Mar 2016', '3 Mar 2016', '3 Mar 2016', '3 Mar 2016', '3 Mar 2016', '3 Mar 2016', '3 Mar 2016', '3 Mar 2016', '3 Mar 2016', '3 Mar 2016', '3 Mar 2016']","['Phoenix Suns', 'Dallas Mavericks', 'Milwaukee Bucks', 'Phoenix Suns', 'Detroit Pistons', 'Timberwolves', 'Golden State Warriors', 'Phoenix Suns', 'Milwaukee Bucks', 'Phoenix Suns', 'Detroit Pistons']",11
4,The #Twolves take on the @DetroitPistons tomorrow night at home! Here's what to expect: http://www.nba.com/timberwolves/scouting-report-wolves-pistons-11-20-2015 …pic.twitter.com/3RdldZQcbI,DetroitPistons,Timberwolves,"[""The #Twolves take on the @DetroitPistons tomorrow night at home! Here's what to expect: http://www.nba.com/timberwolves/scouting-report-wolves-pistons-11-20-2015\xa0…pic.twitter.com/3RdldZQcbI"", '@Timberwolves See you then.pic.twitter.com/5GxBeOdOnN']",2,"['19 Nov 2015', '19 Nov 2015']","['Timberwolves', 'Detroit Pistons']",2
5,"Waiting on @NBA season like... 

#IsItOctoberYetpic.twitter.com/bKci9WTkZm",DetroitPistons,Timberwolves,"['Waiting on @NBA season like... \n\n#IsItOctoberYetpic.twitter.com/bKci9WTkZm', 'samepic.twitter.com/aytxIiCcsF', 'Us too.pic.twitter.com/y5suNfW9a6', ""Don't worry guys, only 2 more months!pic.twitter.com/Shxz9GQXj4"", '  season comi\n#IsItOctoberYetpic.twitter.com/PLHZITyhaV', '#ICantWait. #IsItOctoberYetpic.twitter.com/PHGKxkJGYI', 'Not  enough. #IsItOctoberYetpic.twitter.com/SqWkkewrBV', '*looks at calendar*pic.twitter.com/LUkLSZ1Nzg', 'Got our eyes  on October. #IsItOctoberYetpic.twitter.com/V97aY8OEFw', ""*Sees it's August*\n\n*Realizes it's only two months until October* #IsItOctoberYetpic.twitter.com/XlTNfRSloi""]",10,"['Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017', 'Aug 1 2017']","['San Antonio Spurs', 'Memphis Grizzlies', 'Washington Wizards', 'Boston Celtics', 'Atlanta Hawks', 'Detroit Pistons', 'LA Clippers', 'Cleveland Cavaliers', 'Timberwolves', 'Detroit Pistons']",10
6,.@Suns @Bucks @dallasmavs @Timberwolves @NBAonTNT Walking into the #GIFParty likepic.twitter.com/ZECHS17997,DetroitPistons,Timberwolves,"['.@Suns @Bucks @dallasmavs @Timberwolves @NBAonTNT Walking into the #GIFParty likepic.twitter.com/ZECHS17997', '.@DetroitPistons @Suns @Bucks @dallasmavs @NBAonTNT \n\nWhen everyone comes to the #GIFParty..pic.twitter.com/olH8Kyb8Fh', '@Timberwolves @DetroitPistons @Suns @Bucks @dallasmavs @NBAonTNT hey fam  #GIFpartypic.twitter.com/PYlBmJlfle', "".@warriors @Timberwolves @DetroitPistons @Bucks @dallasmavs @NBAonTNT Who's got the best dance moves at #GIFParty?pic.twitter.com/UKtibJe9Zd"", '.@Suns @warriors @Timberwolves @DetroitPistons @dallasmavs @NBAonTNT The Greek Freak cuts a rug at the #GIFPartypic.twitter.com/ZSLiIWBdJH', '.@Bucks @warriors @Timberwolves @DetroitPistons @dallasmavs @NBAonTNT We see Greek Freak and raise you @SunsDancerspic.twitter.com/YJJ4N0kLV9', "".@Suns @Bucks @warriors @Timberwolves @DetroitPistons @dallasmavs @NBAonTNT We'll nominate our guy #GIFPartypic.twitter.com/eNWRamH71D"", '.@WashWizards @Suns @Bucks @warriors @Timberwolves @DetroitPistons @dallasmavs @NBAonTNT Wassup errbody #GIFpartypic.twitter.com/yuqx5xt9uw', "".@Sixers @WashWizards @Bucks @warriors @Timberwolves @DetroitPistons @dallasmavs @NBAonTNT Don't let #GIFParty end.pic.twitter.com/ZZCnkyVfct"", '.@Suns @Sixers @WashWizards @warriors @Timberwolves @dallasmavs @NBAonTNT Even the #GIFparty must come to an end...pic.twitter.com/ueKtYyq6rF', '.@Bucks @Suns @Sixers @WashWizards @warriors @Timberwolves @dallasmavs @NBAonTNTpic.twitter.com/1jWqpgyH11']",11,"['3 Mar 2016', '3 Mar 2016', '3 Mar 2016', '3 Mar 2016', '3 Mar 2016', '3 Mar 2016', '3 Mar 2016', '3 Mar 2016', '3 Mar 2016', '3 Mar 2016', '3 Mar 2016']","['Detroit Pistons', 'Timberwolves', 'Golden State Warriors', 'Phoenix Suns', 'Milwaukee Bucks', 'Phoenix Suns', 'Washington Wizards', 'Philadelphia 76ers', 'Phoenix Suns', 'Milwaukee Bucks', 'Detroit Pistons']",11
7,And he makes it look so easy.,DetroitPistons,Timberwolves,"['And he makes it look so easy.', '@Timberwolves ']",2,"['13 Feb 2016', '13 Feb 2016']","['Timberwolves', 'Detroit Pistons']",2
8,"Alley-oop!

Brandon to Josh and the bench loves it!",DetroitPistons,LAClippers,"['Alley-oop!\n\nBrandon to Josh and the bench loves it!', '@DetroitPistons Lob Motor City?', '@LAClippers Sounds about right']",3,"['15 Dec 2014', '15 Dec 2014', '15 Dec 2014']","['Detroit Pistons', 'LA Clippers', 'Detroit Pistons']",3
9,Awwww yeah. Give us a follow everywhere if you would be so kind. #DetroitBasketballpic.twitter.com/zHWQ1H37RM,DetroitPistons,LAClippers,"['Awwww yeah. Give us a follow everywhere if you would be so kind. #DetroitBasketballpic.twitter.com/zHWQ1H37RM', '@DetroitPistons Done.', ""@LAClippers You're too kind""]",3,"['8 Feb 2016', '8 Feb 2016', '8 Feb 2016']","['Detroit Pistons', 'LA Clippers', 'Detroit Pistons']",3
