,0,1,2,3,4,5,6,7
0,"Before leaving Pallet Town, Professor Oak made sure we left with proper defense…We chose Chandmander! #NBAPokemonpic.twitter.com/9npzCQyOs0",Sixers,cavs,"['Before leaving Pallet Town, Professor Oak made sure we left with proper defense…We chose Chandmander! #NBAPokemonpic.twitter.com/9npzCQyOs0', '.@dallasmavs Not bad, but when the enemy is weak against a fiery opponent, you really need Charmanderson! #NBAPokemonpic.twitter.com/5iZX5uZVKi', '@cavs @dallasmavs That hair tho…']",3,"['10 Sep 2014', '10 Sep 2014', '10 Sep 2014']","['Dallas Mavericks', 'Cleveland Cavaliers', 'Philadelphia 76ers']",3
1,Anyone enjoying their #NBACereals this morning? We started the day with a bowl of Special Kay pic.twitter.com/DkVMVlDX2O,Sixers,cavs,"['Anyone enjoying their #NBACereals this morning? We started the day with a bowl of Special Kay pic.twitter.com/DkVMVlDX2O', 'A 2016-17 favorite. #NBACerealspic.twitter.com/JlRqX3ofFa']",2,"['Aug 10 2017', 'Aug 10 2017']","['Cleveland Cavaliers', 'Philadelphia 76ers']",2
2,Boston came out on fire Monday. Philly couldn't hit the broad side of a barn. You know what that means: Gino Time:http://on.nba.com/1AyN5F0 ,Sixers,celtics,"[""Boston came out on fire Monday. Philly couldn't hit the broad side of a barn. You know what that means: Gino Time:http://on.nba.com/1AyN5F0\xa0"", '@celtics Ouch.']",2,"['16 Mar 2015', '16 Mar 2015']","['Boston Celtics', 'Philadelphia 76ers']",2
3,*On Long Islandhttps://twitter.com/sixers/status/918138153545994240 …,Sixers,BrooklynNets,"['*On Long Islandhttps://twitter.com/sixers/status/918138153545994240\xa0…', ""We've all been there... even you, Nets.pic.twitter.com/T0KbICCjLD""]",2,"['Oct 11 2017', 'Oct 11 2017']","['Brooklyn Nets \xa0??', 'Philadelphia 76ers']",2
4,"We're going to need your help on this one, #Pelicans fans!

R(h)y-don #NBAPokemonpic.twitter.com/MXufhsoVAl",Sixers,PelicansNBA,"[""We're going to need your help on this one, #Pelicans fans!\n\nR(h)y-don #NBAPokemonpic.twitter.com/MXufhsoVAl"", '@PelicansNBA Sorry that we forgot to invite you guys… :-/']",2,"['10 Sep 2014', '10 Sep 2014']","['New Orleans Pelicans', 'Philadelphia 76ers']",2
5,"Ok, Air Pierre. #SummerSixers",Sixers,PelicansNBA,"['Ok, Air Pierre. #SummerSixers', '@Sixers - You rang?pic.twitter.com/4bwn5qwyDq', '@PelicansNBA -_-pic.twitter.com/pUE7z3z0Bi', '@Sixers -pic.twitter.com/Mr8QDmk7nT', '@PelicansNBA oh you']",5,"['7 Jul 2015', '7 Jul 2015', '7 Jul 2015', '7 Jul 2015', '7 Jul 2015']","['Philadelphia 76ers', 'New Orleans Pelicans', 'Philadelphia 76ers', 'New Orleans Pelicans', 'Philadelphia 76ers']",5
6,Who are the most athletic players from 2015 @NBA Draft class? RANKINGS from @Josh_Cohen_NBA: http://on.nba.com/1eVhmdv pic.twitter.com/ZWVteHhjEP,Sixers,OrlandoMagic,"['Who are the most athletic players from 2015 @NBA Draft class? RANKINGS from @Josh_Cohen_NBA: http://on.nba.com/1eVhmdv\xa0pic.twitter.com/ZWVteHhjEP', '@OrlandoMagic We’ll just leave this here.https://vine.co/v/OH9YPwBA5Pu\xa0']",2,"['29 Jun 2015', '29 Jun 2015']","['Orlando Magic', 'Philadelphia 76ers']",2
7,Statement made.pic.twitter.com/ttpRCukdqd,Sixers,OrlandoMagic,"['Statement made.pic.twitter.com/ttpRCukdqd', '@Sixers oh', '@MNTimberwolves @Sixers oh', '@OrlandoMagicpic.twitter.com/hWdD6GcMga']",4,"['20 Mar 2015', '20 Mar 2015', '20 Mar 2015', '20 Mar 2015']","['Philadelphia 76ers', 'Timberwolves', 'Orlando Magic', 'Philadelphia 76ers']",4
8,"Hey @sixers 
: @FOXSportsFL
: 7:00 p.m.
: Magic vs. Sixerspic.twitter.com/pVWFWWsOvX",Sixers,OrlandoMagic,"['Hey @sixers \n: @FOXSportsFL\n: 7:00 p.m.\n: Magic vs. Sixerspic.twitter.com/pVWFWWsOvX', '.@OrlandoMagic Headband JoJo ', '.@Sixers you think the floor is gonna be good to go tonight orrrrr?', 'creative.']",4,"['2 Dec 2016', '2 Dec 2016', '2 Dec 2016', '2 Dec 2016']","['Orlando Magic', 'Philadelphia 76ers', 'Orlando Magic', 'Philadelphia 76ers']",4
9,"We'll see you tomorrow, Allentown. Tickets: http://bit.ly/1zacrgH pic.twitter.com/hZm2Dsrfak",Sixers,OrlandoMagic,"[""We'll see you tomorrow, Allentown. Tickets: http://bit.ly/1zacrgH\xa0pic.twitter.com/hZm2Dsrfak"", ""@Sixers We'll be there!"", ""@OrlandoMagic Well we'd hope that's the case. ""]",3,"['17 Oct 2014', '17 Oct 2014', '17 Oct 2014']","['Philadelphia 76ers', 'Orlando Magic', 'Philadelphia 76ers']",3
