,0,1,2,3,4,5,6,7
0,KEVIN LOVE  #NBAVote,Timberwolves,cavs,"['KEVIN LOVE  #NBAVote', '.@cavs could he not...please ']",2,"['8 Jan 2016', '8 Jan 2016']","['Cleveland Cavaliers', 'Timberwolves']",2
1,"Those @KyrieIrving handles...

WATCH: http://ow.ly/GninE 
#NBABallot #CavsTWolves",Timberwolves,cavs,"['Those @KyrieIrving handles...\n\nWATCH: http://ow.ly/GninE\xa0\n#NBABallot #CavsTWolves', ""@cavs no, don't watch this. :)""]",2,"['23 Dec 2014', '23 Dec 2014']","['Cleveland Cavaliers', 'Timberwolves']",2
2,"LBJ 
#CavsTWolves DIFF: +7",Timberwolves,cavs,"['LBJ \n#CavsTWolves DIFF: +7', '@cavs ']",2,"['31 Jan 2015', '31 Jan 2015']","['Cleveland Cavaliers', 'Timberwolves']",2
3,#Nets start the game with an 11-4 lead against the #Twolvespic.twitter.com/ajsKrPTj8w,Timberwolves,BrooklynNets,"['#Nets start the game with an 11-4 lead against the #Twolvespic.twitter.com/ajsKrPTj8w', '@BrooklynNets ']",2,"['16 Mar 2015', '16 Mar 2015']","['Brooklyn Nets \xa0??', 'Timberwolves']",2
4,#Nets lead the #Twolves 33-29 at the end of the 1st Qpic.twitter.com/rHpYpEnxCV,Timberwolves,BrooklynNets,"['#Nets lead the #Twolves 33-29 at the end of the 1st Qpic.twitter.com/rHpYpEnxCV', '@BrooklynNetspic.twitter.com/LCgF6RtiM7']",2,"['16 Mar 2015', '16 Mar 2015']","['Brooklyn Nets \xa0??', 'Timberwolves']",2
5,Sprite Slam Dunk contestants! Early predictions?pic.twitter.com/QTvkWaJwD6,Timberwolves,BrooklynNets,"['Sprite Slam Dunk contestants! Early predictions?pic.twitter.com/QTvkWaJwD6', '@NBATV we got this.pic.twitter.com/jgQP55ozxv', '@BrooklynNets @NBATV not so fast…https://vine.co/v/MxTUi5D2lDa\xa0']",3,"['27 Jan 2015', '27 Jan 2015', '27 Jan 2015']","['NBA TV', 'Brooklyn Nets \xa0??', 'Timberwolves']",3
6,"Thaddeus Young: ""I'm definitely going to try to get back on the court as soon as possible."" #Netspic.twitter.com/jUToKdjJ9L",Timberwolves,BrooklynNets,"['Thaddeus Young: ""I\'m definitely going to try to get back on the court as soon as possible."" #Netspic.twitter.com/jUToKdjJ9L', ""@BrooklynNets best wishes for Thad and your team. He'll be in our prayers.""]",2,"['25 Mar 2015', '25 Mar 2015']","['Brooklyn Nets \xa0??', 'Timberwolves']",2
7,When the Suns block back  #SolarEclipse17pic.twitter.com/gU32E0LmzW,Timberwolves,BrooklynNets,"['When the Suns block back  #SolarEclipse17pic.twitter.com/gU32E0LmzW', 'Love you ']",2,"['Aug 21 2017', 'Aug 21 2017']","['Phoenix Suns', 'Timberwolves']",2
8,Which #Twolves player do you predict will put up the most points tonight against the Pelicans?,Timberwolves,PelicansNBA,"['Which #Twolves player do you predict will put up the most points tonight against the Pelicans?', '@MNTimberwolves pek with 26', '.@NickLadwig as long as Anthony Davis is okay with this, sounds like a plan to us! What do you think, @PelicansNBA?', ""@MNTimberwolves - Ummm...we're gonna need to renegotiate that to a lower number."", ""@PelicansNBA we'll compromise. 20 Points for Pek...0 Blocks for Anthony. No backsies.""]",5,"['14 Nov 2014', '14 Nov 2014', '14 Nov 2014', '14 Nov 2014', '14 Nov 2014']","['Timberwolves', 'Nick Ladwig', 'Timberwolves', 'New Orleans Pelicans', 'Timberwolves']",5
9,Sonics fan seeking new favorite NBA team. I've narrowed my list down to @Timberwolves @Sixers @Pacers @Bucks @PelicansNBA @ATLHawks,Timberwolves,PelicansNBA,"[""Sonics fan seeking new favorite NBA team. I've narrowed my list down to @Timberwolves @Sixers @Pacers @Bucks @PelicansNBA @ATLHawks"", 'pick us!pic.twitter.com/hkxxZyHVpa', ""What's up, @clarknova11? @ATLHawks @Sixers @Pacers @Bucks @PelicansNBApic.twitter.com/f2OTdhgive"", ""There's only  right answer here, @clarknova11. @Timberwolves @ATLHawks @Pacers @Bucks @PelicansNBApic.twitter.com/6rYLfgTzeM"", 'we keep it  tho. #justsayingpic.twitter.com/nmkGYTluOz', 'woah, woah, woah ... who invited these guys', '']",7,"['17 Jun 2016', '17 Jun 2016', '17 Jun 2016', '17 Jun 2016', '17 Jun 2016', '17 Jun 2016', '17 Jun 2016']","['Jeremy', 'Atlanta Hawks', 'Timberwolves', 'Philadelphia 76ers', 'LA Clippers', 'Atlanta Hawks', 'Timberwolves']",7
